movie,reviewer,metascore,review_score,review_text,review_date,release_date,acclaim_rate,user_score,director,languages,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,unknown,release_decade
Mad Max: Fury Road,A.O. Scott,90.0,100,"Even in the most chaotic fights and collisions, everything makes sense. This is not a matter of realism — come on, now — but of imaginative discipline. And Mr. Miller demonstrates that great action filmmaking is not only a matter of physics but of ethics as well. There is cause and effect; there are choices and consequences.",2015-05-14,2015-05-15,Universal acclaim,86.0,George Miller,English,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2010s
Big Men,Jeannette Catsoulis,90.0,100,"Dropping us into a perfect storm of avarice, this cool and incisive snapshot of global capitalism at work is as remarkable for its access as for its refusal to judge.",2014-03-13,2014-03-14,Generally favorable reviews,75.0,Rachel Boynton,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
I Vitelloni [re-release],Dana Stevens,87.0,100,"Full of brilliantly executed coups de th&#233;&#226;tre, showing the director's natural flair for spectacle.",,2003-11-14,Generally favorable reviews,79.0,Federico Fellini,Italian,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Atanarjuat: The Fast Runner,Dana Stevens,91.0,100,Not merely an interesting document from a far-off place; it is a masterpiece.,,2002-06-07,Universal acclaim,83.0,Zacharias Kunuk,Inuktitut,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Blue Jasmine,Manohla Dargis,78.0,100,"[Allen's] most sustained, satisfying and resonant film since “Match Point.”",2013-07-25,2013-07-26,Generally favorable reviews,77.0,Woody Allen,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Toni Erdmann,A.O. Scott,93.0,100,"Toni Erdmann, proceeding in a perfectly straightforward manner, from one awkward, heartfelt, hilarious scene to the next, wraps itself around some of the thorniest complexities of contemporary reality.",2016-12-22,2016-12-25,Generally favorable reviews,71.0,Maren Ade,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
The Farthest,Andy Webster,87.0,100,"For any believer in humankind’s instinct to transcend boundaries, the Voyager 1 and Voyager 2 space probes, and the NASA team that produced them, inspire awe. The Farthest, a dazzling documentary written and directed by Emer Reynolds, illustrates why.",2017-08-10,2017-08-11,Generally favorable reviews,74.0,Emer Reynolds,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
The Duchess of Langeais,Manohla Dargis,74.0,100,"Duchess of Langeais seems to me a nearly impeccable work of art -- beautiful, true, profound.",,2008-02-22,Mixed or average reviews,51.0,Jacques Rivette,French,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2000s
Crazy Heart,A.O. Scott,83.0,100,A small movie perfectly scaled to the big performance at its center.,,2009-12-16,Generally favorable reviews,75.0,Scott Cooper,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2000s
24 Hour Party People,A.O. Scott,85.0,100,"""Print the legend,"" Mr. Wilson says at one point, both quoting John Ford and laying the foundation for his own often fact-free fabulous fabulism.  And this movie is just that -- fabulous.",,2002-08-09,Universal acclaim,87.0,Michael Winterbottom,English,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Toy Story,Janet Maslin,95.0,100,"Thanks to exultant wit and so many distinctive voices, Toy Story is both an aural and visual delight.",,1995-11-22,Universal acclaim,90.0,John Lasseter,English,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s
Million Dollar Baby,Dana Stevens,86.0,100,"With its careful, unassuming naturalism, its visual thrift and its emotional directness, Million Dollar Baby feels at once contemporary and classical, a work of utter mastery that at the same time has nothing in particular to prove.",,2004-12-15,Generally favorable reviews,74.0,Clint Eastwood,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000s
The Fugitive,Elvis Mitchell,88.0,100,"Turns out to be a smashing success, a juggernaut of an action-adventure saga that owes noithing to the past. To put it simply, thi is a home run. [6 August 1993, p. C1]",,1993-08-06,Universal acclaim,89.0,Andrew Davis,English,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1990s
Mr. Turner,A.O. Scott,94.0,100,"Mr. Turner is a mighty work of critical imagination, a loving, unsentimental portrait of a rare creative soul. But even as it celebrates a glorious painter and illuminates the sources of his pictures with startling clarity and insight, the movie patiently and thoroughly demolishes more than a century’s worth of mythology about what art is and how artists work.",2014-12-18,2014-12-19,Generally favorable reviews,70.0,Mike Leigh,English,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Heading South,Stephen Holden,73.0,100,"A beautifully written, seamlessly directed film with award-worthy performances by Ms. Rampling and Ms. Young.",,2006-07-07,Generally favorable reviews,71.0,Laurent Cantet,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Anesthesia,Stephen Holden,55.0,100,"Lacking epic pretensions and modest in scale, running under 90 minutes, Anesthesia is really closer in spirit to Rodrigo García’s delicate 2005 gem, “Nine Lives.” And it doesn’t waste a word or an image.",2016-01-07,2016-01-08,Mixed or average reviews,58.0,Tim Blake Nelson,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010s
The Prince of Tides,Janet Maslin,65.0,100,The Prince of Tides marks Ms. Streisand's triumphantly good job of locating that story's salient elements and making them come alive on the screen.,,1991-12-25,No score yet,,Barbra Streisand,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990s
L.A. Confidential,Janet Maslin,90.0,100,"A tough, gorgeous, vastly entertaining throwback to the Hollywood that did things right. As such, it enthusiastically breaks most rules of studio filmmaking today.",,1997-09-19,Universal acclaim,90.0,Curtis Hanson,English,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1990s
The Secret of the Grain,A.O. Scott,83.0,100,"An entire family chronicle, along with four decades of French social and economic history, is recapitulated as a lavish, hectic dinner, complete with music and belly dancing. It will leave you stunned and sated, having savored an intimate and sumptuous epic of elation and defeat, jealousy and tenderness, life and death, grain and fish.",,2008-12-24,Universal acclaim,81.0,Abdel Kechiche,French,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Dunkirk,Manohla Dargis,94.0,100,"Dunkirk is a tour de force of cinematic craft and technique, but one that is unambiguously in the service of a sober, sincere, profoundly moral story that closes the distance between yesterday’s fights and today’s.",2017-07-20,2017-07-21,Universal acclaim,84.0,Christopher Nolan,English,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2010s
Inside Out,A.O. Scott,94.0,100,"Inside Out is an absolute delight — funny and charming, fast-moving and full of surprises. It is also a defense of sorrow, an argument for the necessity of melancholy dressed in the bright colors of entertainment.",2015-06-18,2015-06-19,Universal acclaim,87.0,Pete Docter,English,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Beyond the Hills,A.O. Scott,79.0,100,"Even as Mr. Mungiu maintains a detached, objective point of view, allowing the details of the story to speak for themselves, he also allows you to glimpse the complex and volatile inner lives of his characters.",2013-03-07,2013-03-08,Generally favorable reviews,74.0,Cristian Mungiu,Romanian,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
The Missing Picture,Manohla Dargis,87.0,100,The audacity of The Missing Picture — a brilliant documentary about a child who held on to life in Cambodia’s killing fields — is equaled only by its soulfulness.,2014-03-19,2013-10-04,Generally favorable reviews,76.0,Rithy Panh,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Two Step,Stephen Holden,81.0,100,This lean character-driven movie has such an acutely observant screenplay that it is easy to empathize with people struggling to make a decent living by hook or crook. Its psychological precision elevates it to something more than a genre piece.,2015-07-30,2015-07-31,Generally favorable reviews,78.0,Alex R. Johnson,English,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010s
Aquarius,A.O. Scott,88.0,100,"Aquarius is a marvelous and surprising act of portraiture, a long, unhurried encounter with a single, complicated person. And that is enough to make it a captivating film, an experience well worth seeking out. But there is also, as I’ve suggested, more going on than the everyday experiences of a modern matriarch.",2016-10-13,2016-10-14,Universal acclaim,86.0,Kleber Mendonça Filho,Portuguese,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
The Purple Rose of Cairo,Vincent Canby,75.0,100,"I'll go out on a limb: I can't believe the year will bring forth anything to equal The Purple Rose of Cairo. At 84 minutes, it's short but nearly every one of those minutes is blissful.",,1985-05-02,Universal acclaim,87.0,Woody Allen,English,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980s
Rams,A.O. Scott,82.0,100,"Despite its affection for the quirks of its characters and their milieu, the film is most memorable for its gravity, for the almost tragic nobility it finds in sad and silly circumstances.",2016-02-03,2016-02-03,Generally favorable reviews,76.0,Grímur Hákonarson,Icelandic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Lost in Translation,A.O. Scott,89.0,100,Here he (Murray) supplies the kind of performance that seems so fully realized and effortless that it can easily be mistaken for not acting at all.,,2003-09-12,Generally favorable reviews,75.0,Sofia Coppola,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000s
This Is Not a Film,A.O. Scott,90.0,100,"How did Mr. Panahi do this? I'm at a bit of a loss to explain, to tell you the truth, since my job is to review movies, and this, obviously, is something different: a masterpiece in a form that does not yet exist.",2012-03-01,2012-03-02,Generally favorable reviews,63.0,Jafar Panahi,Persian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Escape from New York,Vincent Canby,76.0,100,"It's a toughly told, very tall tale, one of the best escape (and escapist) movies of the season.",,1981-07-10,Generally favorable reviews,68.0,John Carpenter,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980s
Howards End,Vincent Canby,89.0,100,"Merchant, Ivory and Jhabvala triumph again with their entertaining, richly textured film.  [13 March 1992]",,1992-03-13,Universal acclaim,83.0,James Ivory,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990s
Our Daily Bread,Manohla Dargis,86.0,100,"Nikolaus Geyrhalter's superb documentary is an unblinking, often disturbing look at industrial food production from field to factory.",,2006-11-24,Generally favorable reviews,78.0,Nikolaus Geyrhalter,German,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
The Bourne Ultimatum,Manohla Dargis,85.0,100,"Mr. Greengrass knows how to do his job, and there’s no one in Hollywood right now who does action better, who keeps the pace going so relentlessly, without mercy or letup, scene after hard-rocking scene.",,2007-08-03,Generally favorable reviews,76.0,Paul Greengrass,English,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2000s
Zero Dark Thirty,Manohla Dargis,95.0,100,"Ms. Bigelow's direction here is unexpectedly stunning, at once bold and intimate: she has a genius for infusing even large-scale action set pieces with the human element.",2012-12-18,2012-12-19,Generally favorable reviews,68.0,Kathryn Bigelow,English,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010s
The Strange Little Cat,Ben Kenigsberg,80.0,100,Mr. Zürcher has concocted something intimate yet otherworldly with this highly original debut.,2014-07-31,2014-08-01,Universal acclaim,82.0,Ramon Zürcher,German,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Gett: The Trial of Viviane Amsalem,Manohla Dargis,90.0,100,"With her dramatically pale face framed by a voluptuous dark cloud of hair, Ms. Elkabetz is never more effective than when she’s holding still, her face so drained of emotion that it transforms into a screen within the screen on which another, indelibly private movie is playing.",2015-02-12,2015-02-13,Generally favorable reviews,79.0,Ronit Elkabetz,French,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
In the Line of Fire,Vincent Canby,74.0,100,"It's movie making of the high, smooth, commercial order that Hollywood prides itself on but achieves with singular infrequency.",,1993-07-09,Universal acclaim,88.0,Wolfgang Petersen,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1990s
A Fantastic Woman,A.O. Scott,94.0,100,"Psychologically astute and socially aware as the film is, it is also infused with mystery and melodrama, with bright colors and emotional shadows.",2017-11-15,2017-11-17,Generally favorable reviews,77.0,Sebastián Lelio,Spanish,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Evolution,Glenn Kenny,77.0,100,"It’s an impeccable, creepy and genuinely transporting movie.",2016-11-25,2016-11-25,Generally favorable reviews,65.0,Lucile Hadzihalilovic,French,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2010s
About Elly (2009),Stephen Holden,87.0,100,About Elly is gorgeous to look at. The ever-changing sky and sea lend it a moodiness so palpable that the climate itself seems a major character dictating the course of events; the weather rules.,2015-04-07,2015-04-08,Universal acclaim,87.0,Asghar Farhadi,German,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010s
Gone with the Wind,Frank S. Nugent,97.0,100,"Is it the greatest motion picture ever made? Probably not, although it is the greatest motion mural we have seen and the most ambitious film-making venture in Hollywood's spectacular history.",,1940-01-17,Universal acclaim,86.0,George Cukor,English,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1930s
In a World...,A.O. Scott,79.0,100,"Ms. Bell, who plays Carol with a perfect blend of diffidence, goofiness and charm, has written and directed an insightful comedy that is much more complex and ambitious than it sometimes seems.",2013-08-08,2013-08-09,Generally favorable reviews,65.0,Lake Bell,English,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Love Is Strange,A.O. Scott,82.0,100,"By the time the movie is over, you feel as if the people in it were friends you know well enough to tire of, and to miss terribly when they go away.",2014-08-21,2014-08-22,Generally favorable reviews,70.0,Ira Sachs,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Archipelago,Manohla Dargis,82.0,100,"In most movies, something happens; in Archipelago, many things happen, quietly yet meaningfully.",2014-06-26,2014-06-27,No score yet,,Joanna Hogg,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Army of Shadows,Manohla Dargis,99.0,100,"This film, which was never released in America and will now be making its way across the country in limited release, has been immaculately restored and features new subtitles. You can get lost in the blackness of its heart and its shadows. You might never come back.",,2006-04-28,Generally favorable reviews,80.0,Jean-Pierre Melville,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000s
Far From Heaven,Dana Stevens,84.0,100,"It rediscovers the aching, desiring humanity in a genre -- and a period-- too often subjected to easy parody or ironic appropriation. In a word, it's divine.",,2002-11-08,Universal acclaim,82.0,Todd Haynes,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000s
Affliction,Janet Maslin,79.0,100,Succeeds in finding something larger than one man's misery.  It turns dark truthfulness into the cinematic sentiment most worth celebrating this season.,,1998-12-30,Universal acclaim,84.0,Paul Schrader,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1990s
"Jim & Andy: The Great Beyond — Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Manohla Dargis,77.0,100,"The result isn’t another ho-hum documentary likeness in which all the elements neatly and often flatteringly stack up. “Jim & Andy” is instead a complexly layered and textured Cubist portrait, one that’s been constructed from fragments of its two title subjects and their work.",2017-11-16,2017-11-17,Universal acclaim,93.0,Chris Smith,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Inside Job,A.O. Scott,88.0,100,"Inside Job, a sleek, briskly paced film whose title suggests a heist movie, is the story of a crime without punishment, of an outrage that has so far largely escaped legal sanction and societal stigma.",,2010-10-08,Universal acclaim,85.0,Charles Ferguson,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Augustine,A.O. Scott,74.0,100,"Everything depends on the subtlety of the direction and the charisma of the performances. Augustine is intellectually satisfying partly because it communicates its ideas at the level of feeling, through the uncanny power of Soko’s face and body.",2013-05-16,2013-05-17,Generally favorable reviews,66.0,Alice Winocour,French,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Stephen Holden,87.0,100,"If there's one movie that ought to be studied by military and civilian leaders around the world at this treacherous historical moment, it is The Fog of War, Errol Morris's sober, beautifully edited documentary portrait of the former United States defense secretary Robert S. McNamara.",,2003-12-19,Universal acclaim,85.0,Errol Morris,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000s
Seymour: An Introduction,Manohla Dargis,83.0,100,"So effective does it close the distance between you and Mr. Bernstein that afterward you may find yourself scanning the streets, hoping to catch sight of him, as if for an old friend.",2015-03-12,2015-03-13,Universal acclaim,87.0,Ethan Hawke,English,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
White Material,Manohla Dargis,81.0,100,"Ms. Denis has an extraordinary gift for finding the perfect image that expresses her ideas, the cinematic equivalent of what Flaubert called le mot juste.",,2010-11-19,Generally favorable reviews,65.0,Claire Denis,French,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
The Queen,Manohla Dargis,91.0,100,A sublimely nimble evisceration of that cult of celebrity known as the British royal family.,,2006-09-30,Generally favorable reviews,66.0,Stephen Frears,English,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Killer of Sheep,Manohla Dargis,94.0,100,"The result is an American masterpiece, independent to the bone.",,2007-03-30,Generally favorable reviews,69.0,Charles Burnett,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Reversal of Fortune,Vincent Canby,93.0,100,"What makes it so instructively entertaining is the pivotal character of Claus von Bulow, played by Jeremy Irons within an inch of his professional life. It's a fine, devastating performance, affected, mannerly, edgy, though seemingly ever in complete control. [17 Oct 1990]",,1990-10-17,Generally favorable reviews,79.0,Barbet Schroeder,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1980s
These Birds Walk,Nicolas Rapold,82.0,100,"The filmmakers record the flash of youth’s headlong energies, its bumps and bruises, and its melancholies and brilliant chaos.",2013-10-31,2013-11-01,No score yet,,Bassam Tariq,Urdu,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010s
My Flesh and Blood,Stephen Holden,78.0,100,"In what has been called the Year of the Documentary, ""My Flesh and Blood"" stands beside ""Capturing the Friedmans"" and ""The Fog of War"" as an unforgettable experience.",,2003-11-28,Universal acclaim,86.0,Jonathan Karsh,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Restless Creature: Wendy Whelan,,87.0,100,"The film is both a comeback story and, more profoundly, a coming to terms with aging.",2017-05-23,2017-05-24,No score yet,,Adam Schlesinger,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Frances Ha,A.O. Scott,82.0,100,"With its swift, jaunty rhythms and sharp, off-kilter jokes, Frances Ha is frequently delightful. Ms. Gerwig and Mr. Baumbach are nonetheless defiant partisans in the revolt against the tyranny of likability in popular culture.",2013-05-16,2013-05-17,Generally favorable reviews,77.0,Noah Baumbach,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Amour,Manohla Dargis,94.0,100,"A masterpiece about life, death and everything in between.",2012-12-18,2012-12-19,Generally favorable reviews,80.0,Michael Haneke,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010s
Badlands,Vincent Canby,90.0,100,"One may legitimately debate the validity of Malick's vision, but not, I think, his immense talent. Badlands is a most important and exciting film.",,1973-10-15,Universal acclaim,87.0,Terrence Malick,English,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970s
The Double Hour,Stephen Holden,72.0,100,"The best movie of its kind since the French director Guillaume Canet's hit from 2006, ""Tell No One.""",2011-04-14,2011-04-15,Generally favorable reviews,73.0,Giuseppe Capotondi,Spanish,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010s
EX LIBRIS: The New York Public Library,Manohla Dargis,91.0,100,"In “Ex Libris,” democracy is alive and in the hands of a forceful advocate and brilliant filmmaker, which helps make this one of the greatest movies of Mr. Wiseman’s extraordinary career and one of his most thrilling.",2017-09-12,2017-09-13,No score yet,,Frederick Wiseman,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Chan Is Missing,Vincent Canby,85.0,100,"Chan Is Missing is not only an appreciation of a way of life that few of us know anything about; it's a revelation of a marvelous, completely secure new talent.",,1982-06-04,No score yet,,Wayne Wang,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1980s
Malcolm X,Vincent Canby,72.0,100,"Mr. Lee means for Malcolm X to be an epic, and it is in its concerns and its physical scope.  In Denzel Washington it also has a fine actor who does for Malcolm X what Ben Kingsley did for &#147;Gandhi.&#148;  [18 November 1992]",,1992-11-18,Universal acclaim,82.0,Spike Lee,English,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s
Milk,A.O. Scott,84.0,100,"Harvey Milk was an intriguing, inspiring figure. Milk is a marvel.",,2008-11-26,Generally favorable reviews,76.0,Gus Van Sant,English,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Dekalog (1988),Stephen Holden,100.0,100,The profound pleasures they offer derive not only from their deft metaphysical playfulness but also from their storytelling genius.,,1996-03-22,Universal acclaim,92.0,Krzysztof Kieslowski,Polish,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s
"sex, lies, and videotape",Caryn James,86.0,100,Astonishing... One of the freshest American films of the decade. [4 Aug 1989],,1989-08-04,Generally favorable reviews,79.0,Steven Soderbergh,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980s
Braveheart,Caryn James,68.0,100,One of the most spectacular entertainments in years.,,1995-05-24,Universal acclaim,87.0,Mel Gibson,English,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990s
Children of Tokyo,A.O. Scott,91.0,100,"That it is more -- a small masterpiece, perfect in design and execution -- almost goes without saying, but the film’s profundity and its charm go hand in hand.",,2010-06-25,Generally favorable reviews,77.0,Yasujiro Ozu,None,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Birdman or (The Unexpected Virtue of Ignorance),Manohla Dargis,88.0,100,"The camerawork in Birdman is an astonishment, and an argument that everything flows together, which in this movie means the cinematography, the story, the people, even time and space.",2014-10-16,2014-10-17,Universal acclaim,82.0,Alejandro González Iñárritu,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Spirited Away,Elvis Mitchell,96.0,100,"The towering, lost dreaminess at the heart of the film is an unmistakable obsession of this director.",,2002-09-20,Universal acclaim,90.0,Hayao Miyazaki,Japanese,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
My Golden Days,Manohla Dargis,87.0,100,"My Golden Days is a memory movie, a story told through a glass darkly.",2016-03-17,2016-03-18,Generally favorable reviews,69.0,Arnaud Desplechin,French,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
A Woman in Berlin,A.O. Scott,74.0,100,"That the film manages to be understated, calm and intelligent in spite of its wrenching subject matter is perhaps its most impressive accomplishment. In avoiding sensationalism, it feels very close to the truth.",,2009-07-17,Generally favorable reviews,71.0,Max Färberböck,German,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000s
Valentino's Ghost,Andy Webster,84.0,100,You may not agree with every observation in Michael Singh’s documentary Valentino’s Ghost. But this engrossing examination of American perceptions of Arabs and the Arab world gets you thinking.,2013-05-16,2013-05-17,No score yet,,Michael Singh,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2010s
My Voyage to Italy,Stephen Holden,90.0,100,Extraordinary labor of love.,,2001-10-19,Generally favorable reviews,70.0,Martin Scorsese,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Blue Velvet,Elvis Mitchell,76.0,100,"As fascinating as it is freakish.  It confirms Mr. Lynch's stature as an innovator, a superb technician, and someone best not encountered in a dak alley. [19 September 1986]",,1986-09-19,Generally favorable reviews,79.0,David Lynch,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1980s
